channel_id,name,handle,agency,discovery_source,first_discovered_at,candidate_status,already_in_frozen_cohort,evidence_strength
UC3it6w4G8eUA98J2w60gBDQ,Orca-Okaru CH,@kingorca,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269531+00:00,active,False,HIGH_CONFIDENCE
UC27OebwwE2AWaJF8fUSkDcA,Mooco Witchie,@moocowitchie,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.269545+00:00,unknown,False,MEDIUM_CONFIDENCE
UC2iD3jxz5srvHoV7gXtBYvQ,Davina V.,@davinav,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269558+00:00,hiatus,False,MEDIUM_CONFIDENCE
UC3JqFoY66A90sdqe46mvbTA,Eli Aharon 「イーライ」,@eliaharon,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269594+00:00,active,True,HIGH_CONFIDENCE
UC2sAw3h-IzU3JOtvXVzTjxw,叶龙 Yelong CH.,@yelong_vth,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269612+00:00,active,False,HIGH_CONFIDENCE
UC2mSWpVqjjQ7G7gEIfQ7p9w,Zeraphina Hana,@zeraphinahn,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269629+00:00,active,False,MEDIUM_CONFIDENCE
UC3D2LNEOdYQq5mu9hjoQTZQ,ROOKCAN ch〖DPX〗,@rookcanch,DPX,Thai VTuber Ranking,2026-09-06T15:07:31.269648+00:00,active,False,MEDIUM_CONFIDENCE
UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,@ardalitalilibelle,Lumina Live,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.269691+00:00,active,True,HIGH_CONFIDENCE
UC33VkaWtUAg84eE1BfScpZg,PanBiBi,@panbibi,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269720+00:00,hiatus,False,HIGH_CONFIDENCE
UC1miE8rA7u3-CVPpuZGUT7g,Frozy Ch.,@frozyvtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269739+00:00,hiatus,False,HIGH_CONFIDENCE
UC31Hn_T44_qvI_yTY-BFbPw,LIN Darling Ch.,@lindarlingch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269780+00:00,active,False,HIGH_CONFIDENCE
UC2mkbeIUVeIZeV7E2_dNCSg,Cersei Lezlie,@cerseilezlie,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269823+00:00,active,False,HIGH_CONFIDENCE
UC3ea-AGQlCDx_XOMO58C0Jg,The Doll Tales,@thedolltales,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269850+00:00,active,False,MEDIUM_CONFIDENCE
UC3DORp_0MHcP00w2JxQ88_Q,SHIRO K. Channel,@shirokchannel,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269873+00:00,active,False,MEDIUM_CONFIDENCE
UC3cucsq4iSW-mU8-E18ESCQ,Cordelia Mairi Ch.,@cordeliamairich,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269895+00:00,active,False,MEDIUM_CONFIDENCE
UC2109-BUhq7iEs9k9PlCzsw,Cheryu Ch.,@cheryuch.1657,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269908+00:00,active,False,MEDIUM_CONFIDENCE
UC3HM8L5j53x0WsliGNTXhbQ,Shanaru Ch.,@shanaruch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270005+00:00,hiatus,False,HIGH_CONFIDENCE
UC2erQwP2foSQARjw5zUbrnQ,Sirris Goddess Ch.,@sirrisgoddess,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270026+00:00,active,False,MEDIUM_CONFIDENCE
UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,@mollyehe,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270046+00:00,active,True,MEDIUM_CONFIDENCE
UC1pSe5kxpCK1BwA_bZQ97-g,Fancy Ch.,@fancychnsk,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270069+00:00,hiatus,False,HIGH_CONFIDENCE
UC3K3Crh966nzLx41obfJhaA,Drako Nya Mio,@drakonyamio,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270089+00:00,active,False,MEDIUM_CONFIDENCE
UC3QIcnp1II_iCt-_JG8btKQ,Era Ch.【ARP】,@era_arp,Algorhythm Project,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.270104+00:00,active,False,MEDIUM_CONFIDENCE
UC3PeUyEXBffDBFpOiuk0odQ,Jisooman Ch.,@jisoomansololove1818,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270248+00:00,active,False,HIGH_CONFIDENCE
UC3lFI2WTG-d0KrTRwAbjAlw,Aiden Leonheart【SRV】,@aidenleonheart_srv,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270268+00:00,hiatus,False,MEDIUM_CONFIDENCE
UC238YXwPe4b4T57pFWioIfA,Arine Vtuber,@arinevtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270283+00:00,hiatus,False,MEDIUM_CONFIDENCE
UC1xmO5jVjOCeo02XCpq4WFA,Erima Channel,@erimach,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.270322+00:00,active,False,MEDIUM_CONFIDENCE
UC1jZ0KuzFRgWD_s9E-KLcFQ,Yue Meili [ECR],@yuemeilich,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270393+00:00,active,False,MEDIUM_CONFIDENCE
UCGAtHjeWWgyWboVQ33ZQX6Q,Zenith Ch.【ARP】,@zenith_arp,Algorhythm Project,Thai VTuber Ranking,2026-09-06T15:07:31.270417+00:00,active,True,HIGH_CONFIDENCE
UCH9YSRP3hG56bs2lzmMoOVw,Kimhan Summer /คิมหันต์ [EC19 Projekt],@kimhansummerec19projekt49,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270442+00:00,active,False,HIGH_CONFIDENCE
UCG04BGkyQFQPV3jl5ANHPZA,Kyo Koi ,@kyokoi_vtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270469+00:00,active,False,MEDIUM_CONFIDENCE
UCHCvUUDxEP1ve9Zg_tZP5ug,Luthia IONIX,@luthia_ionix,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270496+00:00,active,False,HIGH_CONFIDENCE
UCHJyN2D9QrjAujzsrDkguRA,Yuina Hoshi Ch.,@yuinahoshich,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270523+00:00,active,False,HIGH_CONFIDENCE
UCGFX2NZhsWp_hpZiYmyJnRQ,Elice Ch.,@eliciaa,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270539+00:00,active,False,HIGH_CONFIDENCE
UCGmm95ZgqXrfS-0pu980_tA,Renai ai Ch.〖DPX〗,@renaidivipj,DPX,Thai VTuber Ranking,2026-09-06T15:07:31.270556+00:00,active,False,MEDIUM_CONFIDENCE
UCGmvJX9TaHps4LB-J-cR6bQ,Sora Myojo《 EXia 》,@sora_myojo,EXia,Thai VTuber Ranking,2026-09-06T15:07:31.270573+00:00,active,False,MEDIUM_CONFIDENCE
UCGjZDsjGu_BzQ_hPKTRBLLw,Aidin,@aidinstreamer,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270611+00:00,active,False,MEDIUM_CONFIDENCE
UCGOkjVQVJivJxDN7iSdQuLA,Moe Miyabi ⌜VZ⌟,@moemiyabiv7,Virtual Zeven (VZ),Thai VTuber Ranking,2026-09-06T15:07:31.270671+00:00,active,False,HIGH_CONFIDENCE
UCGGJmwrqz9q6BAVK0VWYE8g,KDemon,@kdemon114,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270707+00:00,active,False,HIGH_CONFIDENCE
UCFjBM9wvCqb5wBLpp_cHxfA,JumpMy Ch.【XIRCONIA】,@jumpmy3,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270737+00:00,active,False,HIGH_CONFIDENCE
UCGMiAEmU8MB1-2abX_Tjkyw,Wine Ch. ,@winevylalun,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270764+00:00,active,False,MEDIUM_CONFIDENCE
UCGXguhCIYycPMOTZN9s4x6A,จู้จีนจุกจิก | Regene【RE:S】,@regene_res,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270801+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGWwz0WBEcGozJ6yZNGIsPw,Estxr Channel,@estxr_ch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270830+00:00,active,False,MEDIUM_CONFIDENCE
UCH7h3T7J1ck7YgjbI2YPR7g,Akinori Eiji Ch.「TRR」 ,@akinorieiji_trr,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270852+00:00,active,False,HIGH_CONFIDENCE
UCH6Fib1kQUaR2qurlEXnZMA,Zenaida XETA-102 Channel,@zenaidaxeta-102,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270872+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGbMin84xisO1Yuq_guVlFA,NUTTY ROZE ,@nutty.roze-wis,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270890+00:00,hiatus,True,HIGH_CONFIDENCE
UCGofntRkNUAgXGqimLtLy4g,Reilim Channel,@reilimchannel,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270974+00:00,active,True,HIGH_CONFIDENCE
UCGgUYt_n_Uzi5xYAS12XDww,Kahel Kallas『AST』 ,@kahelkallasast,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.270999+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGIDvgCG2v47r33D14QlasA,Jusia Ch. ASMR,@jusiaasmr,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271072+00:00,active,False,HIGH_CONFIDENCE
UCG-PEjbBmm82pBvWvJJfxgQ,Shinya Natonsai,@shinya_natonsai,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271095+00:00,active,False,HIGH_CONFIDENCE
UCGhWfzi-1RoI9mJKzrCJGHQ,Sakamajimai / Sharky Ch.,@sakamajimai,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271122+00:00,active,False,HIGH_CONFIDENCE
UCHBOkil-h2JiTQ2LEJtG7FA,Cerise Channel,@cerise_channel,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271235+00:00,active,False,HIGH_CONFIDENCE
UCGc2qf0Pkl7RyvqTyyP_o9w,MiYuu43 ch. みゆ,@miyuu43ch,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.271258+00:00,active,True,HIGH_CONFIDENCE
UCG1UqDhwKiOIHHAhwZqJGQg,Lukami Ch. ルカミ [Lukami Stellaz],@lukamith,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271345+00:00,active,False,HIGH_CONFIDENCE
UCFkljb428Byj00FxL_kwYyA,OZiK Ch.,@ozik-the-goat,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271382+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGi7W6vbEJjPi1nzJfW-zOQ,Felixia-zorei-aixela Ch.,@felixia-zorei-aixela,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271397+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGRF7CYtM2Qvevmach7enPA,Seabunnyi,@seabunnyily,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271438+00:00,active,False,MEDIUM_CONFIDENCE
UCGMSJFuXdNmswEPX4X6NnLQ,Mycara Melony Ch. Pixela-Mystic,@mycaramelony,Pixela Project,Thai VTuber Ranking,2026-09-06T15:07:31.271488+00:00,active,True,HIGH_CONFIDENCE
UCGwh4Fq6iBno7cSieXcgh0w,Saiko Ch.,@saikoch.7416,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271501+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCFycFPpGcrne7rAp_Xa6tbg,Patchay channel,@patchayvtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271563+00:00,unknown,False,HIGH_CONFIDENCE
UCFuUpyt6u2UC90h1nAWuXkw,Trashythemeow,@trashythemeow,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271584+00:00,active,False,HIGH_CONFIDENCE
UCGSthfh4W439C_2cQloVocw,Val 5332,@valk5332,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271630+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCGFON7MMs-K2rmM_TjNG82A,Aifei ch.,@aifeivtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271649+00:00,active,False,HIGH_CONFIDENCE
UCHEnKuFdHAKL20IpCTi8l9Q,SeJi Ch.,@sejichaki,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271701+00:00,active,False,MEDIUM_CONFIDENCE
UCFd3ivp0P8uWR-SdnMLWDoQ,JaoGuin Ch.,@jaoguinch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271759+00:00,active,False,MEDIUM_CONFIDENCE
UCHGviQ_8o_ZLS_k1vpFOtmQ,Cobalt HellHound Ch. (ฮาวนด์),@cobalthellhound,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271804+00:00,active,False,HIGH_CONFIDENCE
UCGo7fnmWfGQewxZVDmC3iJQ,Xonebu X'thulhu Ch. Lumina-World-End,@xonebuworldend,Lumina Live,Thai VTuber Ranking,2026-09-06T15:07:31.271836+00:00,active,True,HIGH_CONFIDENCE
UCGkGWo40A2iZKQl9ug1oXoA,Loxifyr,@loxifyr,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.271871+00:00,active,False,HIGH_CONFIDENCE
UCGtHn0fmqCAp_8AzV_PWd6A,Eveshaiah Miraclover Ch. Lumina-Mutelu,@eveshaiahmiraclover,Lumina Live,Thai VTuber Ranking,2026-09-06T15:07:31.271904+00:00,active,False,HIGH_CONFIDENCE
UCGAxNdaCC9RI6-u3QabJ8Fg,MomaMae,@momay.allegrala,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271931+00:00,active,False,HIGH_CONFIDENCE
UCFr02a1OIuA1yrnJuB2dSpw,Shishiro Taiga Ch. (志白タイガ),@shishiro_taiga,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.271991+00:00,active,False,MEDIUM_CONFIDENCE
UCGBkYTR4tMKS38TQHGWWLjg,Aito LH,@aitolh,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272036+00:00,active,True,HIGH_CONFIDENCE
UCG1Dk3994tPaCIBJp8Cu2pg,Kamilla Lich,@kamillalich,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272055+00:00,active,False,MEDIUM_CONFIDENCE
UCGIo_THCq5eGbEdb8f0z10Q,Shirowashi Ch.,@shirowashivtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272088+00:00,active,False,MEDIUM_CONFIDENCE
UCGtjAVYcncs1AJ5hQY0gASQ,KAMAI,@kamaisanch,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.272117+00:00,active,True,MEDIUM_CONFIDENCE
UCU8-PjzR1iFtqdmATtRrYYQ,Tinsley Alaappaat Ch.,@tinsleythefox,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272153+00:00,active,False,MEDIUM_CONFIDENCE
UCURO2Hz8CWn0knwFbNTo2ng,RaneeTani『VTG』,@raneetani,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272209+00:00,active,False,HIGH_CONFIDENCE
UCUPi3XlTX0rLUWjFHifNl-Q,Bloodyflora,@bloodyflora,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272242+00:00,active,True,MEDIUM_CONFIDENCE
UCUUvW_FwpvBRsubHH7loRFA,【黒崎】Asmodeus Ch.,@krsk963,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272290+00:00,active,False,HIGH_CONFIDENCE
UCTc2h8nlS0U1LhCjMgHVFzw,Retsu Hasuki,@hasukiretsu,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272310+00:00,active,False,MEDIUM_CONFIDENCE
UCTIi4NC8SvzUZDMExjCscVA,UCTIi4NC8SvzUZDMExjCscVA,@uctii4nc8svzuzdmexjcscva,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272328+00:00,hiatus,True,MEDIUM_CONFIDENCE
UCUR0HEtdHk4nx2WddW0Qthg,Verdelite PowerPay,@verdelitepowerpay,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272381+00:00,hiatus,False,HIGH_CONFIDENCE
UCTbgUT9_ipoQbiC7IxhJdoQ,Maimon CH,@demon_maimon,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272397+00:00,active,False,MEDIUM_CONFIDENCE
UCTt2KsR8ZwnsTyoebl3eXsQ,Yves Monet Deirdre【21PM】,@yvesmonet_21pm,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272416+00:00,active,False,MEDIUM_CONFIDENCE
UCTtgiI6vO_zxlcOBLd3P7Jg,Xro Ch,@xuri_xro,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272429+00:00,active,False,MEDIUM_CONFIDENCE
UCTE0_50-t5vJqrC832LV2eQ,Laven Ch. Genesis Project,@lavenchannel,Genesis Project,Thai VTuber Ranking,2026-09-06T15:07:31.272459+00:00,hiatus,False,HIGH_CONFIDENCE
UCUGwdp5xDeKhuhHBgZLX_ng,PopKorn163 Vtuber Ch.,@popkorn163,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272513+00:00,active,False,MEDIUM_CONFIDENCE
UCUBooBbB6GNYvQJEna3eRBQ,Beatrix CH. - ビアトリクス,@beatrix_monroe,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272556+00:00,active,False,MEDIUM_CONFIDENCE
UCUfM5IcATD5-AB1If9v7wTA,Den Trenton Ch. | OAL,@den_oal,OAL,Thai VTuber Ranking,2026-09-06T15:07:31.272575+00:00,active,False,MEDIUM_CONFIDENCE
UCUYOr3CaHR0XIv0FfM22CyA,Niew Lock ,@niewlocker,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272611+00:00,active,False,HIGH_CONFIDENCE
UCU5Bt3GkZmiYkazw37gJqIw,Lotte Ch.,@liselotte_ch,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.272695+00:00,active,False,HIGH_CONFIDENCE
UCUHopfMWIslGzHiNMs-vtVw,Queenetta Indigo Night | ท่านควีน,@queenettaindigonight,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272964+00:00,active,False,MEDIUM_CONFIDENCE
UCV3mg1zXhXfWHcL2iq3z-Aw,Laurie Blisse Ch.,@laurie_blisse,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.272983+00:00,active,False,MEDIUM_CONFIDENCE
UCULjjXc2IgdCBaEVD-Qgaqw,[ad] Khaow | ยุติบทบาท / ทอดทิ้งงาน,@adkhaow07,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273008+00:00,hiatus,False,HIGH_CONFIDENCE
UCTb15SroUenoP9Ckboz6s3g,Wahri【WahrheitIVIX】,@wahri_wahri,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273079+00:00,active,False,HIGH_CONFIDENCE
UCUXyd8UJv3jOudmtabpsRfQ,Thina Borboleta Ch.,@thinaborboletach,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273113+00:00,hiatus,False,HIGH_CONFIDENCE
UCTJ1Zw4hW6L7iZ1i9aaIF7A,Esme Nightingale,@esme_nightingale,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273133+00:00,active,False,MEDIUM_CONFIDENCE
UCTSWYTxXHbb_9sbz84xSR8Q,LIMESALTZ Ch.,@limesaltz,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273165+00:00,active,False,HIGH_CONFIDENCE
UCUaWCz3UX9XNdA97qPHuAYg,MamiMumei,@mamimumeich,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.273196+00:00,active,True,HIGH_CONFIDENCE
UCTRQ7X-nxix3gjjXUb6ylvA,Ginnique Ch.【ARP】,@ginnique_arp,Algorhythm Project,Thai VTuber Ranking,2026-09-06T15:07:31.273223+00:00,active,True,MEDIUM_CONFIDENCE
UCTuKqG6tWqVKKWMGO1Uhdsg,ZAAB Ch. / QURSE,@zaabvibeent,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273238+00:00,active,False,MEDIUM_CONFIDENCE
UCU1t3KkZ6-ytH1stNylfv1Q,Rosánn Ch.,@rosann_myssiera,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273261+00:00,active,False,MEDIUM_CONFIDENCE
UCUqKneO3jlE5_HS6leBiXOw,Hope Popuri,@porichan,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273321+00:00,active,False,HIGH_CONFIDENCE
UCV7dVXp53A48-Iwqg5BezQA,Dubbing for fun,@natchan4838,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273340+00:00,active,False,MEDIUM_CONFIDENCE
UCURSzDgzFhYWhKDySspPisA,LittleG ch. Euphora,@littlegwarin,Euphora Project,Thai VTuber Ranking,2026-09-06T15:07:31.273366+00:00,active,False,HIGH_CONFIDENCE
UCU17NWo-I4dIYYbWBjU2cHg,RLanz Ch.,@rlanz_tn,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273381+00:00,active,False,MEDIUM_CONFIDENCE
UCUajlJqlGrWNNdCUEwgvI0g,Viola C. Ae,@violacae,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273395+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCUmR1YXqxbx1NXusY2ugj8A,Thear DreamWhale° 10Hz,@theardreamwhale,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273438+00:00,active,False,HIGH_CONFIDENCE
UCUf34M2JBvh6JK-fNR34d6w,UnUn the Bat Ch.,@ununthebat,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273470+00:00,active,False,HIGH_CONFIDENCE
UCUUiRsJXOGaGUMsgwX1h_5g,Thicha ch.,@mthicha,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273510+00:00,active,False,HIGH_CONFIDENCE
UCTpRi8YKKMNfY_YviDeFNig,Urai [NecroMezza],@uraincg,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273545+00:00,active,False,HIGH_CONFIDENCE
UCTPI0_Vjw_vnKlbHXN1H-Tw,MALAI ch.【FIXIX TN】,@malaich.fixixtn,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273592+00:00,active,False,HIGH_CONFIDENCE
UCUTA8ZrTOZGUNezeAYWrajg,QueenSere.Physia Ch,@serevtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273631+00:00,hiatus,False,MEDIUM_CONFIDENCE
UCTygto_BZDamXNv2YRqPNKg, Nor_Noir [นน.],@nor_noir,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273663+00:00,hiatus,False,HIGH_CONFIDENCE
UCTME5FbcsqcbWSZVIapkchA,MesiaReia Ch.,@mesiareiach.7385,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273694+00:00,unknown,False,MEDIUM_CONFIDENCE
UCUH2P2QP0-0wbHJkOQbK5WQ,Seiko Vtuber,@seikovtuberx,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.273859+00:00,active,False,HIGH_CONFIDENCE
